"Season_Id1","Match_Id","Match_Date","Team_Name_Id","Opponent_Team_Id","Venue_Name","Toss_Winner_Id","Toss_Decision","Toss winner id and Toss decision","IS_Superover","IS_Result","Is_DuckWorthLewis","Win_Type","Won_By","Won_By_more than_10 runs","Match_Winner_Id","Man_Of_The_Match_Id","First_Umpire_Id","Second_Umpire_Id","City_Name","Host_Country","Season_Year","Orange_Cap_Id","Purple_Cap_Id","Man_of_the_Series_Id"
"1","335987","18-Apr-08","2","1","M Chinnaswamy Stadium","2","field","2/field","0","1","0","by runs","140","true","1","2","470","477","Bangalore","India","2008","100","102","32"
"1","335988","19-Apr-08","4","3","Punjab Cricket Association Stadium, Mohali","3","bat","3/bat","0","1","0","by runs","33","true","3","19","471","487","Chandigarh","India","2008","100","102","32"
"1","335989","19-Apr-08","6","5","Feroz Shah Kotla","5","bat","5/bat","0","1","0","by wickets","9","false","6","90","472","512","Delhi","India","2008","100","102","32"
"1","335990","20-Apr-08","7","2","Wankhede Stadium","7","bat","7/bat","0","1","0","by wickets","5","false","2","11","473","476","Mumbai","India","2008","100","102","32"
"1","335991","20-Apr-08","1","8","Eden Gardens","8","bat","8/bat","0","1","0","by wickets","5","false","1","4","474","486","Kolkata","India","2008","100","102","32"
"1","335992","21-Apr-08","5","4","Sawai Mansingh Stadium","4","bat","4/bat","0","1","0","by wickets","6","false","5","32","472","513","Jaipur","India","2008","100","102","32"
"1","335993","22-Apr-08","8","6","Rajiv Gandhi International Stadium, Uppal","8","bat","8/bat","0","1","0","by wickets","9","false","6","41","475","492","Hyderabad","India","2008","100","102","32"
"1","335994","23-Apr-08","3","7","MA Chidambaram Stadium, Chepauk","7","field","7/field","0","1","0","by runs","6","false","3","18","476","512","Chennai","India","2008","100","102","32"
"1","335995","24-Apr-08","8","5","Rajiv Gandhi International Stadium, Uppal","5","field","5/field","0","1","0","by wickets","3","false","5","31","470","471","Hyderabad","India","2008","100","102","32"
"1","335996","25-Apr-08","4","7","Punjab Cricket Association Stadium, Mohali","7","field","7/field","0","1","0","by runs","66","true","4","26","472","492","Chandigarh","India","2008","100","102","32"
"1","335997","26-Apr-08","2","5","M Chinnaswamy Stadium","5","field","5/field","0","1","0","by wickets","7","false","5","32","471","475","Bangalore","India","2008","100","102","32"
"1","335998","26-Apr-08","3","1","MA Chidambaram Stadium, Chepauk","1","bat","1/bat","0","1","0","by wickets","9","false","3","22","474","479","Chennai","India","2008","100","102","32"
"1","335999","27-Apr-08","7","8","Dr DY Patil Sports Academy","8","field","8/field","0","1","0","by wickets","10","false","8","53","470","487","Mumbai","India","2008","100","102","32"
"1","336000","27-Apr-08","4","6","Punjab Cricket Association Stadium, Mohali","6","bat","6/bat","0","1","0","by wickets","4","false","4","28","477","514","Chandigarh","India","2008","100","102","32"
"1","336001","28-Apr-08","2","3","M Chinnaswamy Stadium","3","bat","3/bat","0","1","0","by runs","13","true","3","20","478","513","Bangalore","India","2008","100","102","32"
"1","336002","29-Apr-08","1","7","Eden Gardens","1","bat","1/bat","0","1","0","by wickets","7","false","7","44","474","479","Kolkata","India","2008","100","102","32"
"1","336003","30-Apr-08","6","2","Feroz Shah Kotla","2","field","2/field","0","1","0","by runs","10","false","6","118","472","514","Delhi","India","2008","100","102","32"
"1","336004","1-May-08","8","4","Rajiv Gandhi International Stadium, Uppal","4","field","4/field","0","1","0","by wickets","7","false","4","100","478","513","Hyderabad","India","2008","100","102","32"
"1","336005","1-May-08","5","1","Sawai Mansingh Stadium","5","bat","5/bat","0","1","0","by runs","45","true","5","101","477","512","Jaipur","India","2008","100","102","32"
"1","336006","2-May-08","3","6","MA Chidambaram Stadium, Chepauk","3","bat","3/bat","0","1","0","by wickets","8","false","6","41","474","486","Chennai","India","2008","100","102","32"
"1","336007","25-May-08","8","2","Rajiv Gandhi International Stadium, Uppal","8","bat","8/bat","0","1","0","by wickets","5","false","2","81","470","477","Hyderabad","India","2008","100","102","32"
"1","336008","3-May-08","4","1","Punjab Cricket Association Stadium, Mohali","4","bat","4/bat","0","1","0","by runs","9","false","4","29","476","514","Chandigarh","India","2008","100","102","32"
"1","336009","4-May-08","7","6","Dr DY Patil Sports Academy","6","field","6/field","0","1","0","by runs","29","true","7","49","475","477","Mumbai","India","2008","100","102","32"
"1","336010","4-May-08","5","3","Sawai Mansingh Stadium","3","bat","3/bat","0","1","0","by wickets","8","false","5","102","470","479","Jaipur","India","2008","100","102","32"
"1","336011","5-May-08","2","4","M Chinnaswamy Stadium","4","field","4/field","0","1","0","by wickets","6","false","4","77","473","478","Bangalore","India","2008","100","102","32"
